"Y
e
a
r","M
o
n
t
h","D
a
y",MaxTemp_(degF),MinTemp_(degF),"Rain_MeltedSnow_Etc_
(in)",Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2014,8,1,84.0,71.0,0.00,0.00,0.00
2014,8,2,74.0,63.0,0.41,0.00,0.00
2014,8,3,76.0,66.0,0.07,0.00,0.00
2014,8,4,84.0,70.0,0.00,0.00,0.00
2014,8,5,90.0,71.0,0.00,0.00,0.00
2014,8,6,83.0,70.0,0.00,0.00,0.00
2014,8,7,83.0,66.0,0.00,0.00,0.00
2014,8,8,83.0,65.0,0.00,0.00,0.00
2014,8,9,87.0,66.0,0.00,0.00,0.00
2014,8,10,88.0,68.0,0.00,0.00,0.00
2014,8,11,87.0,71.0,0.00,0.00,0.00
2014,8,12,79.0,70.0,0.19,0.00,0.00
2014,8,13,82.0,68.0,0.53,0.00,0.00
2014,8,14,77.0,63.0,0.00,0.00,0.00
2014,8,15,73.0,61.0,0.00,0.00,0.00
2014,8,16,78.0,63.0,0.00,0.00,0.00
2014,8,17,82.0,66.0,0.01,0.00,0.00
2014,8,18,81.0,63.0,0.00,0.00,0.00
2014,8,19,83.0,63.0,0.00,0.00,0.00
2014,8,20,84.0,70.0,0.00,0.00,0.00
2014,8,21,83.0,65.0,0.35,0.00,0.00
2014,8,22,79.0,65.0,0.06,0.00,0.00
2014,8,23,77.0,67.0,0.01,0.00,0.00
2014,8,24,80.0,64.0,0.00,0.00,0.00
2014,8,25,88.0,64.0,0.00,0.00,0.00
2014,8,26,89.0,70.0,0.00,0.00,0.00
2014,8,27,90.0,70.0,0.00,0.00,0.00
2014,8,28,82.0,66.0,0.00,0.00,0.00
2014,8,29,80.0,61.0,0.00,0.00,0.00
2014,8,30,80.0,65.0,0.00,0.00,0.00
2014,8,31,90.0,73.0,0.62,0.00,0.00
