"Y
e
a
r","M
o
n
t
h","D
a
y",MaxTemp_(degF),MinTemp_(degF),"Rain_MeltedSnow_Etc_
(in)",Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2014,9,1,88.0,75.0,0.00,0.00,0.00
2014,9,2,92.0,77.0,0.00,0.00,0.00
2014,9,3,86.0,72.0,0.00,0.00,0.00
2014,9,4,87.0,69.0,0.00,0.00,0.00
2014,9,5,87.0,72.0,0.00,0.00,0.00
2014,9,6,91.0,67.0,0.11,0.00,0.00
2014,9,7,81.0,65.0,0.00,0.00,0.00
2014,9,8,75.0,65.0,0.00,0.00,0.00
2014,9,9,73.0,63.0,0.00,0.00,0.00
2014,9,10,80.0,63.0,0.00,0.00,0.00
2014,9,11,83.0,69.0,0.00,0.00,0.00
2014,9,12,78.0,62.0,0.00,0.00,0.00
2014,9,13,69.0,58.0,0.26,0.00,0.00
2014,9,14,71.0,53.0,0.00,0.00,0.00
2014,9,15,71.0,55.0,0.00,0.00,0.00
2014,9,16,70.0,58.0,0.37,0.00,0.00
2014,9,17,73.0,55.0,0.00,0.00,0.00
2014,9,18,76.0,57.0,0.00,0.00,0.00
2014,9,19,66.0,54.0,0.00,0.00,0.00
2014,9,20,75.0,57.0,0.00,0.00,0.00
2014,9,21,75.0,67.0,0.15,0.00,0.00
2014,9,22,71.0,55.0,0.00,0.00,0.00
2014,9,23,71.0,52.0,0.00,0.00,0.00
2014,9,24,71.0,58.0,0.00,0.00,0.00
2014,9,25,64.0,57.0,0.32,0.00,0.00
2014,9,26,77.0,58.0,0.00,0.00,0.00
2014,9,27,83.0,60.0,0.00,0.00,0.00
2014,9,28,84.0,64.0,0.00,0.00,0.00
2014,9,29,79.0,67.0,0.00,0.00,0.00
2014,9,30,71.0,62.0,0.00,0.00,0.00
