Year,Month,Day,MaxTemp_(degF),MinTemp_(degF),Rain_MeltedSnow_Etc_(in),Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2014,9,11,83,69,0.0,0,0
2014,9,12,78,62,0.0,0,0
2014,9,13,69,58,0.26,0,0
2014,9,14,71,53,0.0,0,0
2014,9,15,71,55,0.0,0,0
2014,9,16,70,58,0.37,0,0
2014,9,17,73,55,0.0,0,0
2014,9,18,76,57,0.0,0,0
2014,9,19,66,54,0.0,0,0
2014,9,20,75,57,0.0,0,0
2014,9,21,75,67,0.15,0,0
2014,9,22,71,55,0.0,0,0
2014,9,23,71,52,0.0,0,0
2014,9,24,71,58,0.0,0,0
2014,9,25,64,57,0.32,0,0
2014,9,26,77,58,0.0,0,0
2014,9,27,83,60,0.0,0,0
2014,9,28,84,64,0.0,0,0
2014,9,29,79,67,0.0,0,0
2014,9,30,71,62,0.0,0,0
