"Y
e
a
r","M
o
n
t
h","D
a
y",MaxTemp_(degF),MinTemp_(degF),"Rain_MeltedSnow_Etc_
(in)",Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2015,4,1,51.0,32.0,0.00,0.00,0.00
2015,4,2,67.0,41.0,0.00,0.00,0.00
2015,4,3,64.0,59.0,0.04,0.00,0.00
2015,4,4,60.0,42.0,0.01,0.00,0.00
2015,4,5,61.0,42.0,0.00,0.00,0.00
2015,4,6,63.0,42.0,0.00,0.00,0.00
2015,4,7,62.0,42.0,0.15,0.00,0.00
2015,4,8,45.0,37.0,0.00,0.00,0.00
2015,4,9,43.0,37.0,0.00,0.00,0.00
2015,4,10,56.0,39.0,0.17,0.00,0.00
2015,4,11,57.0,44.0,0.00,0.00,0.00
2015,4,12,66.0,43.0,0.00,0.00,0.00
2015,4,13,68.0,50.0,0.00,0.00,0.00
2015,4,14,65.0,55.0,0.01,0.00,0.00
2015,4,15,72.0,51.0,0.00,0.00,0.00
2015,4,16,64.0,52.0,0.00,0.00,0.00
2015,4,17,71.0,55.0,0.08,0.00,0.00
2015,4,18,80.0,59.0,0.00,0.00,0.00
2015,4,19,64.0,48.0,0.00,0.00,0.00
2015,4,20,57.0,46.0,1.37,0.00,0.00
2015,4,21,65.0,52.0,0.20,0.00,0.00
2015,4,22,69.0,48.0,0.05,0.00,0.00
2015,4,23,52.0,41.0,0.00,0.00,0.00
2015,4,24,52.0,39.0,0.00,0.00,0.00
2015,4,25,62.0,38.0,0.00,0.00,0.00
2015,4,26,64.0,46.0,0.00,0.00,0.00
2015,4,27,62.0,49.0,0.00,0.00,0.00
2015,4,28,71.0,50.0,0.00,0.00,0.00
2015,4,29,78.0,50.0,0.00,0.00,0.00
2015,4,30,67.0,48.0,0.00,0.00,0.00
